Plant Name,Scientific Name,Identification,Image File Name,Status,Category,Edibility,Usage,WNNC Location,Notes,Google Search Link,Calscape Link
Bigberry Manzanita,Arctostaphylos glauca,Smooth red bark; gray-green oval leaves; white urn flowers; large berries; dry chaparral,Bigberry_Manzanita.jpg,Native,Shrub,Edible,Berries for cider & jelly; wildlife food; ornamental; chaparral anchor,,,https://www.google.com/search?q=Bigberry%20Manzanita%20California%20native%20plant,https://calscape.org/plant/Arctostaphylos-glauca
Chaparral Whitethorn,Ceanothus leucodermis,Gray-green leaves; thorny branches; white to pale blue flowers; chalk-white new bark,Chaparral_Whitethorn.jpg,Native,Shrub,Edible,Nitrogen fixer; wildlife habitat; flowers for tea; chaparral structure,,,https://www.google.com/search?q=Chaparral%20Whitethorn%20California%20native%20plant,https://calscape.org/plant/Ceanothus-leucodermis
Our Lord's Candle,Hesperoyucca whipplei,Dense rosette of stiff gray-blue spine-tipped leaves; spectacular tall white flower stalk; dies after flowering,Our_Lord_s_Candle.jpg,Native,Shrub,Edible,Stalks & flowers eaten; fiber for rope; yucca moth host; ornamental,,,https://www.google.com/search?q=Our%20Lord%27s%20Candle%20California%20native%20plant,https://calscape.org/plant/Hesperoyucca-whipplei
Mojave Yucca,Yucca schidigera,Stiff sharp-tipped leaves with fraying fiber edges; creamy white flower clusters; dry desert slopes,Mojave_Yucca.jpg,Native,Shrub,Edible,Fruit & flowers eaten; fiber for rope & baskets; soap from roots,,,https://www.google.com/search?q=Mojave%20Yucca%20California%20native%20plant,https://calscape.org/plant/Yucca-schidigera
Beavertail Cactus,Opuntia basilaris,Flat blue-gray pads without large spines; dense glochids; magenta-pink flowers; low-growing,Beavertail_Cactus.jpg,Native,Cactus,Edible,Pads & fruit edible; ornamental; hummingbird food; desert garden,,,https://www.google.com/search?q=Beavertail%20Cactus%20California%20native%20plant,https://calscape.org/plant/Opuntia-basilaris
Brittlebush,Encelia farinosa,Silvery-gray oval woolly leaves; bright yellow daisy flowers on long bare stalks; desert slopes,Brittlebush.jpg,Native,Shrub,Not edible,Resin used as incense; ornamental; erosion control; pollinator plant,,,https://www.google.com/search?q=Brittlebush%20California%20native%20plant,https://calscape.org/plant/Encelia-farinosa
Creosote Bush,Larrea tridentata,Tiny paired resinous leaves; yellow 5-petaled flowers; white fuzzy fruits; distinctive rain smell,Creosote_Bush.jpg,Native,Shrub,Caution,Medicinal anti-fungal; oldest living plant; desert ecosystem anchor,,,https://www.google.com/search?q=Creosote%20Bush%20California%20native%20plant,https://calscape.org/plant/Larrea-tridentata
Ocotillo,Fouquieria splendens,Spiny cane-like stems; small oval leaves after rain; bright red tubular flower clusters at stem tips,Ocotillo.jpg,Native,Shrub,Edible,Flowers eaten; fencing (live hedges); hummingbird plant; desert ornamental,,,https://www.google.com/search?q=Ocotillo%20California%20native%20plant,https://calscape.org/plant/Fouquieria-splendens
Desert Agave,Agave deserti,Rosette of gray-blue fleshy spine-tipped leaves; tall flower stalk with yellow flowers; monocarpic,Desert_Agave.jpg,Native,Cactus,Edible,Roasted hearts eaten; fiber; soap; cultural food; century plant,,,https://www.google.com/search?q=Desert%20Agave%20California%20native%20plant,https://calscape.org/plant/Agave-deserti
Chaparral Pea,Pickeringia montana,Spiny branches; small 3-lobed leaves; magenta-pink pea flowers; chaparral and dry slopes,Chaparral_Pea.jpg,Native,Shrub,Poisonous,Rare chaparral endemic; nitrogen fixer; wildlife thicket,,,https://www.google.com/search?q=Chaparral%20Pea%20California%20native%20plant,https://calscape.org/plant/Pickeringia-montana
Mountain Mahogany,Cercocarpus montanus,Toothed oval leaves; small flowers; fruit with feathery spiraling tail; dry mountain slopes,Mountain_Mahogany.jpg,Native,Shrub,Not edible,Extremely hard wood for tools; deer browse; slope stabilization,,,https://www.google.com/search?q=Mountain%20Mahogany%20California%20native%20plant,https://calscape.org/plant/Cercocarpus-montanus
Silk Tassel Bush,Garrya elliptica,Oval wavy-edged leathery leaves; pendulous gray-green catkins in winter; dioecious shrub,Silk_Tassel_Bush.jpg,Native,Shrub,Not edible,Ornamental catkins; wildlife shelter; medicinal bark; hedging,,,https://www.google.com/search?q=Silk%20Tassel%20Bush%20California%20native%20plant,https://calscape.org/plant/Garrya-elliptica
Hollyleaf Cherry,Prunus ilicifolia,Spiny-toothed glossy leaves; white flower clusters; dark red to black cherry fruits; chaparral,Hollyleaf_Cherry.jpg,Native,Shrub,Caution,Fruit eaten (pit removed); wildlife food; hedging; shade plant,,,https://www.google.com/search?q=Hollyleaf%20Cherry%20California%20native%20plant,https://calscape.org/plant/Prunus-ilicifolia
Scalebroom,Lepidospartum squamatum,Scale-like leaves on green broom-like stems; yellow flowers; sandy washes and desert edges,Scalebroom.jpg,Native,Shrub,Not edible,Desert wash stabilizer; flood channel revegetation,,,https://www.google.com/search?q=Scalebroom%20California%20native%20plant,https://calscape.org/plant/Lepidospartum-squamatum
Blue Dicks,Dipterostemon capitatus,Grass-like leaves; purple-blue flowers in tight rounded clusters on leafless stem; corm-forming,Blue_Dicks.jpg,Native,Herb,Edible,Corms eaten raw or cooked; important Indigenous staple food,,,https://www.google.com/search?q=Blue%20Dicks%20California%20native%20plant,https://calscape.org/plant/Dipterostemon-capitatus
Superb Mariposa Lily,Calochortus superbus,"Linear leaves; large bowl-shaped flowers with white, yellow, and lilac petals; grasslands and oak woodland",Superb_Mariposa_Lily.jpg,Native,Herb,Edible,Bulbs eaten; ornamental; pollinator; Indigenous food source,,,https://www.google.com/search?q=Superb%20Mariposa%20Lily%20California%20native%20plant,https://calscape.org/plant/Calochortus-superbus
Yellow Mariposa Lily,Calochortus luteus,Grass-like basal leaves; yellow bowl-shaped flowers with brown markings; spring annual from corm,Yellow_Mariposa_Lily.jpg,Native,Herb,Edible,Bulbs eaten; ornamental; pollinator; clay soil specialist,,,https://www.google.com/search?q=Yellow%20Mariposa%20Lily%20California%20native%20plant,https://calscape.org/plant/Calochortus-luteus
Ithuriel's Spear,Triteleia laxa,Narrow grass-like leaves; blue-violet star flowers in umbel on tall leafless stem; grasslands,Ithuriel_s_Spear.jpg,Native,Herb,Edible,Corms eaten; ornamental; pollinator; Indigenous food source,,,https://www.google.com/search?q=Ithuriel%27s%20Spear%20California%20native%20plant,https://calscape.org/plant/Triteleia-laxa
White Globe Lily,Calochortus albus,Linear leaves; nodding white lantern-like flowers; woodland and chaparral edges,White_Globe_Lily.jpg,Native,Herb,Edible,Bulbs edible; shade garden ornamental; pollinator,,,https://www.google.com/search?q=White%20Globe%20Lily%20California%20native%20plant,https://calscape.org/plant/Calochortus-albus
Shooting Star,Dodecatheon clevelandii,Oval to spatula leaves in rosette; pink reflexed petals swept back like rocket; vernal pools,Shooting_Star.jpg,Native,Herb,Not edible,Ornamental; pollinator (buzz pollination by bumblebees); moist garden,,,https://www.google.com/search?q=Shooting%20Star%20California%20native%20plant,https://calscape.org/plant/Dodecatheon-clevelandii
Indian Paintbrush,Castilleja sp.,Lance leaves; showy scarlet to orange bracts (not flowers); hemiparasitic on grass roots,Indian_Paintbrush.jpg,Native,Herb,Caution,Medicinal; hummingbird plant; ornamental; hemiparasitic indicator,,,https://www.google.com/search?q=Indian%20Paintbrush%20California%20native%20plant,https://calscape.org/plant/Castilleja
Tidy Tips,Layia platyglossa,Narrow toothed leaves; yellow ray flowers tipped with white; daisy-like; spring annual,Tidy_Tips.jpg,Native,Herb,Edible,Petals edible; wildflower garden; pollinator; companion planting,,,https://www.google.com/search?q=Tidy%20Tips%20California%20native%20plant,https://calscape.org/plant/Layia-platyglossa
Baby Blue Eyes,Nemophila menziesii,Lobed opposite leaves; sky-blue flowers with white center; low spreading spring annual,Baby_Blue_Eyes.jpg,Native,Herb,Not edible,Ornamental ground cover; pollinator; wildflower meadow,,,https://www.google.com/search?q=Baby%20Blue%20Eyes%20California%20native%20plant,https://calscape.org/plant/Nemophila-menziesii
Farewell to Spring,Clarkia bottae,Narrow alternate leaves; pink to lavender 4-petaled flowers; summer annual; grasslands,Farewell_to_Spring.jpg,Native,Herb,Edible,Petals edible; ornamental; cut flower; late-season wildflower,,,https://www.google.com/search?q=Farewell%20to%20Spring%20California%20native%20plant,https://calscape.org/plant/Clarkia-bottae
Globe Gilia,Gilia capitata,Finely divided leaves; powder-puff blue flower heads; spring annual; open hillsides,Globe_Gilia.jpg,Native,Herb,Not edible,Pollinator magnet; wildflower garden; native seed mixes,,,https://www.google.com/search?q=Globe%20Gilia%20California%20native%20plant,https://calscape.org/plant/Gilia-capitata
Chia,Salvia columbariae,Deeply divided aromatic basal leaves; blue flowers in whorled clusters; edible seeds,Chia.jpg,Native,Herb,Edible,Seeds highly nutritious (omega-3); Indigenous staple food; medicinal,,,https://www.google.com/search?q=Chia%20California%20native%20plant,https://calscape.org/plant/Salvia-columbariae
California Milkmaids,Cardamine californica,Pinnate or simple leaves; white to pink 4-petaled flowers; early spring woodland bloomer,California_Milkmaids.jpg,Native,Herb,Edible,Peppery edible leaves; early-season pollinator; woodland garden,,,https://www.google.com/search?q=California%20Milkmaids%20California%20native%20plant,https://calscape.org/plant/Cardamine-californica
Miniature Lupine,Lupinus bicolor,Palmate compound leaves; tiny blue and white pea flowers; small annual; grasslands,Miniature_Lupine.jpg,Native,Herb,Poisonous,Nitrogen fixer; wildflower display; butterfly host; seed toxic,,,https://www.google.com/search?q=Miniature%20Lupine%20California%20native%20plant,https://calscape.org/plant/Lupinus-bicolor
Sky Lupine,Lupinus nanus,Palmate compound leaves; blue-violet pea flowers with white spot; annual; meadows and roadsides,Sky_Lupine.jpg,Native,Herb,Poisonous,Nitrogen fixer; wildflower display; butterfly larval host,,,https://www.google.com/search?q=Sky%20Lupine%20California%20native%20plant,https://calscape.org/plant/Lupinus-nanus
Red Maids,Calandrinia menziesii,Succulent narrow leaves; magenta-red flowers; low spreading annual; disturbed areas,Red_Maids.jpg,Native,Herb,Edible,Seeds important Indigenous grain; edible leaves; grassland annual,,,https://www.google.com/search?q=Red%20Maids%20California%20native%20plant,https://calscape.org/plant/Calandrinia-menziesii
Blue-eyed Grass,Sisyrinchium bellum,Flat grass-like leaves; small blue-violet iris flowers with yellow center; moist grasslands,Blue_eyed_Grass.jpg,Native,Herb,Not edible,Ornamental; pollinator; coastal prairie restoration; iris relative,,,https://www.google.com/search?q=Blue-eyed%20Grass%20California%20native%20plant,https://calscape.org/plant/Sisyrinchium-bellum
Chinese Houses,Collinsia heterophylla,Opposite leaves; whorled pink-purple and white 2-lipped flowers in tiers; shaded slopes,Chinese_Houses.jpg,Native,Herb,Not edible,Ornamental; pollinator; woodland garden; shade tolerant,,,https://www.google.com/search?q=Chinese%20Houses%20California%20native%20plant,https://calscape.org/plant/Collinsia-heterophylla
Douglas Iris,Iris douglasiana,Evergreen strap-like leaves; lavender to purple iris flowers; variable coastal form,Douglas_Iris.jpg,Native,Herb,Poisonous,Ornamental; fiber from leaves; hummingbird plant; coastal prairie,,,https://www.google.com/search?q=Douglas%20Iris%20California%20native%20plant,https://calscape.org/plant/Iris-douglasiana
Checker Bloom,Sidalcea malviflora,Round lobed basal leaves; pink to purple hollyhock-like flowers; grasslands and coastal scrub,Checker_Bloom.jpg,Native,Herb,Edible,Edible leaves; ornamental; pollinator; coastal prairie restoration,,,https://www.google.com/search?q=Checker%20Bloom%20California%20native%20plant,https://calscape.org/plant/Sidalcea-malviflora
Scarlet Bugler Penstemon,Penstemon centranthifolius,Gray-green clasping leaves; long narrow scarlet tubular flowers; hummingbird plant; dry slopes,Scarlet_Bugler_Penstemon.jpg,Native,Herb,Not edible,Hummingbird specialist; ornamental; dry slope garden,,,https://www.google.com/search?q=Scarlet%20Bugler%20Penstemon%20California%20native%20plant,https://calscape.org/plant/Penstemon-centranthifolius
Foothill Penstemon,Penstemon heterophyllus,Narrow lance leaves; blue to purple tubular flowers; variable; chaparral and woodland edges,Foothill_Penstemon.jpg,Native,Herb,Not edible,Ornamental; pollinator; dry slope & chaparral garden,,,https://www.google.com/search?q=Foothill%20Penstemon%20California%20native%20plant,https://calscape.org/plant/Penstemon-heterophyllus
California Goldfields,Lasthenia californica,Narrow opposite leaves; bright yellow daisy flowers carpeting vernal pools and grasslands,California_Goldfields.jpg,Native,Herb,Not edible,Mass wildflower display; vernal pool indicator; bee forage,,,https://www.google.com/search?q=California%20Goldfields%20California%20native%20plant,https://calscape.org/plant/Lasthenia-californica
Wind Poppy,Papaver heterophyllum,Lobed grayish leaves; orange-red flowers with purple spot at base; spring annual; grasslands,Wind_Poppy.jpg,Native,Herb,Not edible,Rare ornamental; chaparral wildflower; spring display,,,https://www.google.com/search?q=Wind%20Poppy%20California%20native%20plant,https://calscape.org/plant/Papaver-heterophyllum
Blazing Star,Mentzelia involucrata,Rough sticky leaves; large white to cream flowers; desert annual; sandy soils,Blazing_Star.jpg,Native,Herb,Edible,Seeds edible; ornamental nocturnal bloomer; moth-pollinated,,,https://www.google.com/search?q=Blazing%20Star%20California%20native%20plant,https://calscape.org/plant/Mentzelia-involucrata
Woolly Sunflower,Eriophyllum lanatum,Deeply lobed woolly leaves; bright yellow daisy flowers; variable; open slopes and roadsides,Woolly_Sunflower.jpg,Native,Shrub,Not edible,Ornamental silver foliage; pollinator; dry slope erosion control,,,https://www.google.com/search?q=Woolly%20Sunflower%20California%20native%20plant,https://calscape.org/plant/Eriophyllum-lanatum
Tarweed,Madia elegans,Sticky glandular leaves and stems with strong tar smell; yellow flowers; summer annual,Tarweed.jpg,Native,Herb,Edible,Seeds edible (oily); late-season pollinator; summer grassland,,,https://www.google.com/search?q=Tarweed%20California%20native%20plant,https://calscape.org/plant/Madia-elegans
Mule Ears,Wyethia angustifolia,Long narrow leaves (like mule ears); large yellow sunflower-like flowers; grasslands,Mule_Ears.jpg,Native,Herb,Edible,Seeds edible; wildlife food; grassland ornamental; spreading perennial,,,https://www.google.com/search?q=Mule%20Ears%20California%20native%20plant,https://calscape.org/plant/Wyethia-angustifolia
Gumweed,Grindelia stricta,Sticky serrated leaves; yellow daisy flowers with resinous sticky bracts; coastal bluffs,Gumweed.jpg,Native,Herb,Caution,Medicinal (expectorant); coastal bluff garden; pollinator,,,https://www.google.com/search?q=Gumweed%20California%20native%20plant,https://calscape.org/plant/Grindelia-stricta
Seaside Daisy,Erigeron glaucus,Spatula leaves; lavender to purple daisy flowers with yellow centers; coastal bluffs and beaches,Seaside_Daisy.jpg,Native,Herb,Not edible,Ornamental ground cover; coastal garden; erosion control,,,https://www.google.com/search?q=Seaside%20Daisy%20California%20native%20plant,https://calscape.org/plant/Erigeron-glaucus
Desert Chicory,Rafinesquia neomexicana,Pinnately lobed leaves; white dandelion-like flowers; milky sap; desert annual,Desert_Chicory.jpg,Native,Herb,Edible,Edible leaves; desert wildflower; early bee forage,,,https://www.google.com/search?q=Desert%20Chicory%20California%20native%20plant,https://calscape.org/plant/Rafinesquia-neomexicana
Apricot Mallow,Sphaeralcea ambigua,Grayish lobed leaves; apricot-orange hollyhock-like flowers; desert shrub,Apricot_Mallow.jpg,Native,Herb,Edible,Young leaves edible; desert ornamental; drought garden,,,https://www.google.com/search?q=Apricot%20Mallow%20California%20native%20plant,https://calscape.org/plant/Sphaeralcea-ambigua
Desert Marigold,Baileya multiradiata,Woolly gray leaves; bright yellow daisy flowers with many ray florets; desert perennial,Desert_Marigold.jpg,Native,Herb,Poisonous,Ornamental; long-blooming desert display; toxic to livestock,,,https://www.google.com/search?q=Desert%20Marigold%20California%20native%20plant,https://calscape.org/plant/Baileya-multiradiata
Evening Primrose,Oenothera elata,Lance leaves; large yellow 4-petaled flowers open at dusk; tall biennial along streams,Evening_Primrose.jpg,Native,Herb,Edible,Roots & young leaves edible; moth-pollinated; nocturnal garden,,,https://www.google.com/search?q=Evening%20Primrose%20California%20native%20plant,https://calscape.org/plant/Oenothera-elata
Sand Verbena (Pink),Abronia umbellata,Sticky oval leaves; pink fragrant verbena-like flower clusters; coastal sand,Sand_Verbena.jpg,Native,Herb,Not edible,Coastal dune stabilizer; fragrant ornamental; beach garden,,,https://www.google.com/search?q=Sand%20Verbena%20%28Pink%29%20California%20native%20plant,https://calscape.org/plant/Abronia-umbellata
Beach Evening Primrose,Camissoniopsis cheiranthifolia,Oval leaves; yellow flowers; low mat-forming; coastal dunes and sandy soils,Beach_Evening_Primrose.jpg,Native,Herb,Not edible,Coastal dune stabilizer; sandy garden; silver foliage ornamental,,,https://www.google.com/search?q=Beach%20Evening%20Primrose%20California%20native%20plant,https://calscape.org/plant/Camissoniopsis-cheiranthifolia
California Phacelia,Phacelia californica,Pinnately divided leaves; coiled clusters of blue-purple flowers; hairy; coastal and inland,California_Phacelia.jpg,Native,Herb,Caution,Pollinator; medicinal; rocky garden; skin irritant,,,https://www.google.com/search?q=California%20Phacelia%20California%20native%20plant,https://calscape.org/plant/Phacelia-californica
Blue Phacelia,Phacelia campanularia,Round toothed leaves; bright royal blue bell flowers; desert annual; spectacular display,Blue_Phacelia.jpg,Native,Herb,Caution,Bee forage; desert wildflower; revegetation seed mixes,,,https://www.google.com/search?q=Blue%20Phacelia%20California%20native%20plant,https://calscape.org/plant/Phacelia-campanularia
Whispering Bells,Emmenanthe penduliflora,Lobed glandular leaves; nodding pale yellow bell flowers that persist dry; fire follower,Whispering_Bells.jpg,Native,Herb,Not edible,Post-fire pioneer; dried flower arrangements; interesting texture,,,https://www.google.com/search?q=Whispering%20Bells%20California%20native%20plant,https://calscape.org/plant/Emmenanthe-penduliflora
Fiesta Flower,Pholistoma auritum,Weak sticky prickly stems; lobed leaves; lavender-purple flowers; shaded canyon slopes,Fiesta_Flower.jpg,Native,Herb,Caution,Woodland garden; spring wildflower; velcro-like stems for climbing,,,https://www.google.com/search?q=Fiesta%20Flower%20California%20native%20plant,https://calscape.org/plant/Pholistoma-auritum
Biscuitroot,Lomatium sp.,Finely divided fernlike leaves; yellow umbrella-like flower clusters; thick edible taproot,Biscuitroot.jpg,Native,Herb,Edible,Roots & seeds eaten; important Indigenous food; pollinator,,,https://www.google.com/search?q=Biscuitroot%20California%20native%20plant,https://calscape.org/plant/Lomatium
Blue Larkspur,Delphinium parryi,Palmately lobed leaves; blue-purple spurred flowers; dry chaparral and grasslands,Blue_Larkspur.jpg,Native,Herb,Poisonous,Ornamental; pollinator; grassland wildflower; all parts toxic,,,https://www.google.com/search?q=Blue%20Larkspur%20California%20native%20plant,https://calscape.org/plant/Delphinium-parryi
Scarlet Larkspur,Delphinium cardinale,Palmately divided leaves; tall spikes of brilliant red spurred flowers; hummingbird plant,Scarlet_Larkspur.jpg,Native,Herb,Poisonous,Hummingbird plant; ornamental; chaparral garden; all parts toxic,,,https://www.google.com/search?q=Scarlet%20Larkspur%20California%20native%20plant,https://calscape.org/plant/Delphinium-cardinale
Soap Plant,Chlorogalum pomeridianum,Long wavy-edged basal leaves; white star flowers open late afternoon; bulb makes soapy lather,Soap_Plant.jpg,Native,Herb,Caution,Bulb coat as soap & brush; roasted bulb edible; fiber; medicinal,,,https://www.google.com/search?q=Soap%20Plant%20California%20native%20plant,https://calscape.org/plant/Chlorogalum-pomeridianum
Paper Wild Onion,Allium amplectens,Flattened hollow leaves; white to pink star flowers in tight head; papery-bracted; onion smell,Paper_Wild_Onion.jpg,Native,Herb,Edible,Edible bulbs & leaves; Indigenous food; grassland plant,,,https://www.google.com/search?q=Paper%20Wild%20Onion%20California%20native%20plant,https://calscape.org/plant/Allium-amplectens
Harvest Brodiaea,Brodiaea elegans,Grass-like basal leaves; blue-purple funnel flowers in umbel; corm; grasslands and vernal pools,Harvest_Brodiaea.jpg,Native,Herb,Edible,Corms important Indigenous food; ornamental; dry garden,,,https://www.google.com/search?q=Harvest%20Brodiaea%20California%20native%20plant,https://calscape.org/plant/Brodiaea-elegans
Mission Bells,Fritillaria biflora,Whorled lance leaves; nodding brownish-purple bell flowers; grasslands; uncommon,Mission_Bells.jpg,Native,Herb,Poisonous,Ornamental; bulb toxic; grassland & woodland wildflower,,,https://www.google.com/search?q=Mission%20Bells%20California%20native%20plant,https://calscape.org/plant/Fritillaria-biflora
Adobe Lily,Fritillaria pluriflora,Whorled leaves; pink nodding bell flowers; adobe clay soils; spring blooming,Adobe_Lily.jpg,Native,Herb,Poisonous,Rare ornamental; clay soil specialist; bulb toxic,,,https://www.google.com/search?q=Adobe%20Lily%20California%20native%20plant,https://calscape.org/plant/Fritillaria-pluriflora
Death Camas,Anticlea elegans,Grass-like keeled leaves; creamy white star flowers; toxic bulb resembles wild onion,Death_Camas.jpg,Native,Herb,Poisonous,DEADLY - important safety awareness plant; grassland hazard,,,https://www.google.com/search?q=Death%20Camas%20California%20native%20plant,https://calscape.org/plant/Anticlea-elegans
Fiddleneck,Amsinckia menziesii,Rough hairy leaves and stems; orange-yellow flowers in coiled fiddlehead-like clusters; annual,Fiddleneck.jpg,Native,Herb,Caution,Early bee forage; seeds toxic to livestock; grassland indicator,,,https://www.google.com/search?q=Fiddleneck%20California%20native%20plant,https://calscape.org/plant/Amsinckia-menziesii
Butter and Eggs,Triphysaria eriantha,Finely divided leaves; yellow and white flowers; hemiparasitic annual; spring grasslands,Butter_and_Eggs.jpg,Native,Herb,Caution,Hemiparasitic; pollinator; grassland wildflower mix,,,https://www.google.com/search?q=Butter%20and%20Eggs%20California%20native%20plant,https://calscape.org/plant/Triphysaria-eriantha
Rosinweed,Calycadenia multiglandulosa,Sticky glandular leaves; white to yellow ray flowers; strong resinous smell; dry slopes,Rosinweed.jpg,Native,Herb,Edible,Seeds edible; pollinator; summer grassland display,,,https://www.google.com/search?q=Rosinweed%20California%20native%20plant,https://calscape.org/plant/Calycadenia-multiglandulosa
Hummingbird Trumpet,Epilobium canum,Small narrow leaves; bright red tubular flowers; spreads by rhizomes; dry rocky slopes,Hummingbird_Trumpet.jpg,Native,Shrub,Not edible,Hummingbird plant; fall garden; drought-tolerant ornamental,,,https://www.google.com/search?q=Hummingbird%20Trumpet%20California%20native%20plant,https://calscape.org/plant/Epilobium-canum
Crimson Monkeyflower,Erythranthe cardinalis,Opposite clasping leaves; large red tubular 2-lipped flowers; stream banks; hummingbird pollinated,Crimson_Monkeyflower.jpg,Native,Herb,Edible,Edible leaves; hummingbird plant; stream garden; ornamental,,,https://www.google.com/search?q=Crimson%20Monkeyflower%20California%20native%20plant,https://calscape.org/plant/Erythranthe-cardinalis
Seep Monkeyflower,Erythranthe guttata,Opposite rounded leaves; yellow 2-lipped flowers with red spots; seeps and stream banks,Seep_Monkeyflower.jpg,Native,Herb,Edible,Edible leaves; water garden; pollinator; stream bank stabilizer,,,https://www.google.com/search?q=Seep%20Monkeyflower%20California%20native%20plant,https://calscape.org/plant/Erythranthe-guttata
Scarlet Bush Monkeyflower,Diplacus puniceus,Sticky narrow leaves; red-orange tubular flowers; southern CA endemic; dry slopes,Scarlet_Bush_Monkeyflower.jpg,Native,Shrub,Not edible,Hummingbird specialist; rare coastal sage endemic; ornamental,,,https://www.google.com/search?q=Scarlet%20Bush%20Monkeyflower%20California%20native%20plant,https://calscape.org/plant/Diplacus-puniceus
Keckiella (Red),Keckiella cordifolia,Opposite heart-shaped leaves; red tubular flowers; climbing shrubby vine; chaparral,Keckiella.jpg,Native,Shrub,Not edible,Hummingbird plant; ornamental; chaparral climbing shrub,,,https://www.google.com/search?q=Keckiella%20%28Red%29%20California%20native%20plant,https://calscape.org/plant/Keckiella-cordifolia
Yellow Bush Penstemon,Keckiella antirrhinoides,Small opposite leaves; yellow snapdragon-like flowers; dry rocky chaparral slopes,Yellow_Bush_Penstemon.jpg,Native,Shrub,Not edible,Ornamental; pollinator; chaparral garden,,,https://www.google.com/search?q=Yellow%20Bush%20Penstemon%20California%20native%20plant,https://calscape.org/plant/Keckiella-antirrhinoides
Apache Plume,Fallugia paradoxa,Small lobed leaves; white rose flowers; feathery pink-tinted seed plumes; desert washes,Apache_Plume.jpg,Native,Shrub,Not edible,Ornamental feathery seed plumes; desert garden; wildlife cover,,,https://www.google.com/search?q=Apache%20Plume%20California%20native%20plant,https://calscape.org/plant/Fallugia-paradoxa
Cliffrose,Purshia stansburiana,Small 5-lobed leaves; creamy white rose flowers; long feathery seed tails; desert limestone,Cliffrose.jpg,Native,Shrub,Not edible,Fragrant ornamental; deer browse; desert mountain garden,,,https://www.google.com/search?q=Cliffrose%20California%20native%20plant,https://calscape.org/plant/Purshia-stansburiana
Desert Lavender,Hyptis emoryi,Gray woolly aromatic leaves; tiny purple flowers; densely branched shrub; desert washes,Desert_Lavender.jpg,Native,Shrub,Edible,Fragrant tea; medicinal; bee forage; desert ornamental,,,https://www.google.com/search?q=Desert%20Lavender%20California%20native%20plant,https://calscape.org/plant/Hyptis-emoryi
Pearly Everlasting,Anaphalis margaritacea,Narrow woolly leaves; clusters of white papery everlasting flower heads; dry slopes,Pearly_Everlasting.jpg,Native,Herb,Edible,Dried flower arrangements; medicinal; pollinator; meadow garden,,,https://www.google.com/search?q=Pearly%20Everlasting%20California%20native%20plant,https://calscape.org/plant/Anaphalis-margaritacea
Woolly Paintbrush,Castilleja foliolosa,Woolly leaves; orange-red paintbrush bracts; chaparral and dry rocky slopes,Woolly_Paintbrush.jpg,Native,Herb,Caution,Hummingbird plant; ornamental; hemiparasitic; dry slope garden,,,https://www.google.com/search?q=Woolly%20Paintbrush%20California%20native%20plant,https://calscape.org/plant/Castilleja-foliolosa
Indian Warrior,Pedicularis densiflora,Fernlike divided leaves; deep red tubular flowers; hemiparasitic on manzanita roots; woodland,Indian_Warrior.jpg,Native,Herb,Poisonous,Hummingbird plant; ornamental; early bloomer; hemiparasitic; toxic,,,https://www.google.com/search?q=Indian%20Warrior%20California%20native%20plant,https://calscape.org/plant/Pedicularis-densiflora
Sea Fig,Carpobrotus chilensis,Triangular succulent leaves; pink-magenta flowers; invasive on coastal bluffs; from South Africa,Sea_Fig.jpg,Native,Herb,Edible,Edible tart fruit; coastal ground cover; dune stabilizer,,,https://www.google.com/search?q=Sea%20Fig%20California%20native%20plant,https://calscape.org/plant/Carpobrotus-chilensis
Spectacle Pod,Dimorphocarpa wislizenii,Oblong leaves; white 4-petaled flowers; distinctive paired round pod fruits like spectacles,Spectacle_Pod.jpg,Native,Herb,Not edible,Desert ornamental; unique seed pods; sandy soil garden,,,https://www.google.com/search?q=Spectacle%20Pod%20California%20native%20plant,https://calscape.org/plant/Dimorphocarpa-wislizenii
Valley Oak,Quercus lobata,Deeply lobed rounded leaves; long acorns with deep warty cups; massive spreading trunk; endemic,Valley_Oak.jpg,Native,Tree,Caution,Acorns as Indigenous staple (leached); timber; shade; wildlife mast,,,https://www.google.com/search?q=Valley%20Oak%20California%20native%20plant,https://calscape.org/plant/Quercus-lobata
California Black Oak,Quercus kelloggii,Large leaves with pointed bristle-tipped lobes; large acorns; orange fall color; mountain slopes,California_Black_Oak.jpg,Native,Tree,Caution,Acorns leached for food; timber; fall color; wildlife habitat,,,https://www.google.com/search?q=California%20Black%20Oak%20California%20native%20plant,https://calscape.org/plant/Quercus-kelloggii
Blue Oak,Quercus douglasii,Small blue-gray wavy-lobed leaves; small acorns; drought-adapted; inland foothills; deciduous,Blue_Oak.jpg,Native,Tree,Caution,Acorns leached for food; savanna habitat; drought-tolerant shade,,,https://www.google.com/search?q=Blue%20Oak%20California%20native%20plant,https://calscape.org/plant/Quercus-douglasii
California Buckeye,Aesculus californica,Palmate 5-7 leaflets; white to pink flower spikes; large smooth horse chestnut fruit; loses leaves in summer,California_Buckeye.jpg,Native,Tree,Poisonous,Ornamental flowers; Indigenous fish stunning; shade; wildlife cover,,,https://www.google.com/search?q=California%20Buckeye%20California%20native%20plant,https://calscape.org/plant/Aesculus-californica
